Assignment,Attendence,Book,Course,Folder,Lecture,Manual,Page,Quiz,Study_material,Survey,System,Test,URL
120,0,0,0,0,0,0,0,0,0,0,24,0,0
132,0,0,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0
18,0,0,54,0,0,0,0,0,9,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,12,0,0,48,0,0
32,0,0,48,0,144,0,0,32,0,0,0,0,0
20,0,0,30,0,20,0,0,0,20,0,10,0,0
264,0,0,0,0,0,0,44,0,0,0,176,0,0
310,310,0,341,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,12,0,0,0,0,0,0,0,0
304,0,0,57,0,0,0,0,0,0,0,0,0,0
0,0,0,37,0,0,0,0,1332,0,0,0,0,0
130,13,0,13,0,0,0,0,0,0,13,0,0,0
936,0,0,234,0,351,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,4,4,0,0
10,0,0,10,0,0,0,0,0,0,0,5,0,0
3685,0,0,603,0,0,0,0,0,67,134,0,0,0
252,0,0,72,0,0,0,0,0,0,0,0,0,0
32,0,0,8,8,0,0,0,0,0,0,16,0,0
168,24,0,192,0,168,0,0,0,0,0,0,24,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,3,0
0,0,0,2,0,0,0,0,0,0,0,0,2,0
510,0,0,60,0,0,30,0,270,30,0,0,0,0
0,0,0,9,0,0,0,0,0,0,0,0,0,0
0,0,0,15,0,0,0,0,0,10,0,0,0,0
0,0,0,5,0,15,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,2,0
8,0,0,8,0,0,0,0,0,0,0,0,0,0
110,0,0,11,0,0,0,0,0,0,0,0,0,0
24,0,0,12,0,0,0,0,0,0,0,0,0,0
143,0,0,26,0,0,0,0,0,0,0,0,0,0
28,0,0,21,0,0,0,0,0,0,0,0,0,0
340,0,0,136,0,476,0,0,0,0,0,204,0,0
77,0,0,0,0,0,0,0,0,0,0,44,0,0
120,160,0,0,40,0,0,0,0,0,0,80,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,130,0,26
5,0,0,5,10,0,0,0,0,0,0,5,0,0
3772,460,0,1840,0,276,460,0,644,276,0,368,368,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,0,12,0,0,0,0,0,0,0,0,0,0
32,8,0,24,0,0,0,0,0,0,0,0,0,0
30,0,0,45,0,150,0,0,0,0,0,0,0,0
156,0,0,13,0,0,0,0,0,0,0,0,0,0
192,0,0,240,0,48,72,0,0,0,0,24,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
444,37,0,185,0,185,0,0,37,74,148,259,0,0
117,0,0,52,0,0,0,0,0,0,0,0,0,0
112,0,0,32,16,0,16,0,0,0,0,64,16,0
0,0,0,18,0,12,0,0,0,0,6,0,0,0
232,0,0,58,29,116,0,58,0,0,0,290,58,0
1632,0,0,1700,136,204,68,0,0,544,68,272,0,0
108,0,0,126,0,0,0,0,90,0,0,0,0,0
182,0,0,14,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,0,0,57,19,0,0,19,0,0,0,76,0,0
24,0,0,120,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,6,0
54,0,0,0,0,27,0,0,0,0,0,0,0,0
418,0,0,22,22,0,0,0,0,0,22,0,0,0
8,0,0,8,0,0,0,0,0,0,0,0,0,0
42,0,0,7,0,0,0,0,0,0,0,0,0,0
