Answered,Created,Reviewed,Submitted,Updated,Uploaded,Viewed,viewed
0,12,0,12,12,12,96,0
0,12,0,12,12,12,96,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,81,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,144,0
0,16,32,16,48,16,128,0
0,0,0,0,0,0,100,0
0,0,0,0,0,0,484,0
0,0,0,0,0,0,961,0
0,0,0,0,4,0,12,0
0,0,0,38,19,19,285,0
0,0,37,37,666,0,629,0
0,0,0,0,0,0,169,0
0,0,0,78,117,78,1248,0
0,0,0,0,4,0,12,0
0,0,0,0,0,0,25,0
0,201,0,201,268,201,3618,0
0,0,0,18,18,18,270,0
0,0,0,0,0,0,64,0
0,0,0,0,0,0,504,72
0,0,0,0,0,0,9,0
0,0,0,0,0,0,16,0
0,0,0,0,0,0,9,0
0,0,0,0,0,0,4,0
0,0,120,0,0,0,780,0
0,0,0,0,0,0,9,0
0,0,0,0,0,0,20,5
0,0,0,0,5,0,20,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,16,0
0,0,0,22,0,11,88,0
0,0,0,0,0,0,36,0
0,13,0,13,13,13,117,0
0,0,0,0,0,0,49,0
0,0,0,0,0,0,1156,0
0,0,0,0,0,0,121,0
0,0,0,0,0,0,400,0
0,0,0,0,0,0,1,0
0,26,0,26,0,26,598,0
0,0,0,0,0,0,25,0
0,0,276,92,184,92,7820,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,36,0
0,0,0,0,0,0,64,0
0,0,0,30,0,15,180,0
0,0,0,0,0,0,169,0
0,0,0,0,0,0,576,0
0,0,0,0,0,0,1,0
37,0,0,0,37,0,1295,0
0,0,0,0,0,0,169,0
0,0,0,0,0,0,256,0
0,0,0,0,0,0,36,0
0,0,0,0,0,0,841,0
0,0,0,68,136,68,4352,0
0,0,36,0,0,0,288,0
0,14,0,14,14,14,140,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,361,0
0,0,0,0,0,0,144,0
0,0,0,0,0,0,9,0
0,0,0,9,18,9,45,0
0,0,0,0,0,0,484,0
0,0,0,0,0,0,16,0
0,0,0,0,0,0,49,0
