Activity,Assignment,Attempt,Choice,Comment,Completion_state,Content,Course,Feedback,File_submission,File_submission ,Files,Folder,Grade,Option,Page,Quiz,Report,Resource,Response,Session,Submission,Submission ,Submission_state,Submission_status,Submission_text,URL,assignment,attempt,choice,content,feedback,file_submission,files,folder,page,quiz,resource,response,session,submission,submission_status
27.0,50.0,311.0,3.0,,10.0,65.0,14.0,2.0,9.0,8.0,1.0,15.0,2.0,1.0,1.0,2.0,,15.0,102.0,1.0,14.0,3.0,19.0,30.0,3.0,2.0,6.0,,,3.0,,1.0,,1.0,,,,,,3.0,4.0
25.0,99.0,215.0,3.0,,14.0,62.0,7.0,8.0,19.0,9.0,,17.0,3.0,1.0,3.0,2.0,,12.0,200.0,,27.0,3.0,46.0,32.0,4.0,,5.0,,,3.0,,1.0,,1.0,,,,,,3.0,3.0
5.0,5.0,123.0,3.0,,3.0,8.0,12.0,1.0,2.0,,,2.0,,1.0,,2.0,,7.0,1.0,,1.0,2.0,2.0,3.0,,3.0,,,,,,,,,,,,,,,
17.0,91.0,85.0,8.0,,9.0,56.0,5.0,15.0,14.0,11.0,,18.0,,1.0,,4.0,,14.0,40.0,4.0,21.0,3.0,56.0,24.0,3.0,2.0,21.0,,,20.0,6.0,1.0,,2.0,,,8.0,,1.0,3.0,19.0
38.0,164.0,223.0,8.0,,13.0,211.0,20.0,31.0,24.0,6.0,,53.0,3.0,1.0,5.0,3.0,,23.0,203.0,1.0,35.0,2.0,80.0,60.0,5.0,,11.0,,,8.0,1.0,1.0,,,,,,,,3.0,9.0
44.0,86.0,260.0,8.0,,12.0,113.0,19.0,2.0,10.0,9.0,,7.0,1.0,1.0,3.0,3.0,,15.0,193.0,3.0,17.0,3.0,41.0,40.0,3.0,3.0,4.0,,,3.0,,1.0,,,,1.0,,,,3.0,2.0
40.0,69.0,188.0,9.0,,11.0,82.0,47.0,7.0,10.0,11.0,,18.0,2.0,1.0,2.0,2.0,,25.0,181.0,2.0,16.0,4.0,36.0,40.0,4.0,,9.0,,,4.0,,1.0,,,,,,,,3.0,7.0
19.0,53.0,421.0,5.0,,10.0,26.0,14.0,1.0,16.0,6.0,,11.0,1.0,1.0,1.0,4.0,1.0,6.0,229.0,1.0,16.0,2.0,18.0,25.0,1.0,6.0,,,,1.0,,,,,,,,,,,
64.0,174.0,239.0,9.0,,13.0,172.0,13.0,18.0,23.0,9.0,,55.0,3.0,1.0,8.0,9.0,,26.0,209.0,2.0,28.0,3.0,105.0,62.0,4.0,,9.0,,,10.0,3.0,1.0,,3.0,,,4.0,,,3.0,7.0
,20.0,,7.0,,3.0,12.0,,3.0,2.0,,,,,1.0,,,,4.0,,1.0,5.0,,13.0,,2.0,,,,,,,,,,,,,,,,
84.0,332.0,292.0,18.0,,14.0,434.0,57.0,64.0,30.0,11.0,,39.0,2.0,1.0,8.0,8.0,3.0,23.0,195.0,17.0,40.0,5.0,196.0,126.0,6.0,3.0,7.0,,,24.0,,,,1.0,,,,,10.0,,7.0
65.0,117.0,244.0,5.0,,16.0,182.0,41.0,22.0,20.0,13.0,,46.0,2.0,1.0,8.0,5.0,1.0,16.0,141.0,7.0,25.0,5.0,52.0,72.0,5.0,1.0,14.0,,1.0,4.0,,2.0,,2.0,,,,,,6.0,10.0
46.0,64.0,168.0,12.0,,16.0,79.0,7.0,12.0,3.0,6.0,,14.0,8.0,1.0,,4.0,1.0,9.0,140.0,1.0,7.0,2.0,45.0,30.0,1.0,,,,,1.0,,,,,,1.0,,,,,
35.0,128.0,396.0,11.0,,6.0,169.0,22.0,15.0,14.0,7.0,,38.0,3.0,1.0,10.0,5.0,,29.0,272.0,1.0,25.0,2.0,78.0,39.0,2.0,2.0,12.0,,,17.0,,1.0,,7.0,,2.0,1.0,,,3.0,10.0
45.0,148.0,256.0,6.0,,29.0,174.0,30.0,26.0,17.0,9.0,,34.0,1.0,1.0,6.0,7.0,,31.0,203.0,1.0,32.0,3.0,70.0,70.0,12.0,1.0,14.0,,1.0,12.0,,1.0,,1.0,,,,,,3.0,12.0
24.0,88.0,464.0,4.0,,13.0,80.0,6.0,9.0,13.0,6.0,,12.0,5.0,1.0,4.0,12.0,,21.0,297.0,,32.0,2.0,34.0,30.0,6.0,1.0,16.0,,,8.0,,2.0,,1.0,,,,,,6.0,12.0
60.0,121.0,177.0,16.0,,13.0,102.0,11.0,11.0,13.0,9.0,,43.0,4.0,1.0,1.0,1.0,,20.0,157.0,1.0,20.0,4.0,75.0,41.0,4.0,1.0,7.0,,,2.0,,1.0,,,,1.0,,,,3.0,5.0
48.0,140.0,173.0,10.0,,15.0,114.0,19.0,16.0,20.0,12.0,2.0,28.0,4.0,1.0,7.0,3.0,,30.0,156.0,1.0,29.0,5.0,69.0,55.0,5.0,2.0,6.0,,,6.0,1.0,,,,,,,,,,6.0
84.0,225.0,386.0,6.0,,26.0,240.0,13.0,25.0,25.0,6.0,,74.0,5.0,1.0,18.0,11.0,,58.0,189.0,2.0,39.0,3.0,125.0,70.0,6.0,2.0,19.0,3.0,,19.0,,2.0,,1.0,1.0,4.0,,,,6.0,15.0
27.0,39.0,154.0,7.0,,7.0,31.0,13.0,6.0,11.0,10.0,1.0,12.0,3.0,1.0,1.0,4.0,,2.0,140.0,1.0,12.0,3.0,19.0,20.0,,,4.0,,,1.0,,1.0,,,,,,,,3.0,2.0
