Activity,Assignment,Attempt,Choice,Completion_state,Content,Course,Feedback,File_submission,File_submission ,Folder,Grade,Option,Page,Quiz,Report,Resource,Response,Session,Submission,Submission ,Submission_state,Submission_status,Submission_text,URL,content,session
1909,4873,0,0,259,0,0,1232,664,710,0,0,0,0,0,0,0,0,0,681,228,3200,2432,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,907,0,0,0,0,0,0,0,24
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4791,1503,0,0,0,0,69,0,184,0,0,6,0,0,0,0,0,0,0,0,53,0
0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,381,0,0,270,0,0,0,0,47,0,0,0,0,0,0,0,0,0,166,103,147,492,31,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,68,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0
572,0,1167,0,0,0,0,0,0,0,0,0,0,0,49,0,0,629,0,0,0,0,0,0,0,0,0
0,10,0,0,67,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,358,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
