 ,Answered,Created,Downloaded,Removed,Reviewed,Saved,Started,Submitted,Updated,Uploaded,Viewed,created,downloaded,submitted,updated,uploaded,viewed
,,802.0,,50.0,,70.0,,2048.0,1064.0,1518.0,35518.0,130.0,,141.0,11.0,141.0,2739.0
,,,,,,,,,,,476.0,,,,,,37.0
,,,16.0,,,,,,12.0,,528.0,,,,,,
,,,,,,,,,369.0,,17758.0,,,,,,1411.0
,,,,,,,,,,,40.0,,,,,,
,,,40.0,,,,,,,,881.0,,,,,,
,,225.0,,1.0,,123.0,,610.0,717.0,195.0,5718.0,,,,,,54.0
,,,,,,,,143.0,188.0,,2248.0,,,,,,
,,,,,,,,,,,209.0,,,,,,
,,,,,,,,,,,32.0,,,,,,
,,,,,,,,,73.0,,,,,,,,
,,,,,680.0,,347.0,367.0,7947.0,,10270.0,,,,43.0,,146.0
,,,,,,,,,,,74.0,,,,,,
,,,38.0,,,,,,26.0,,2369.0,,6.0,,,,386.0
,151.0,,,,,,,,23.0,,1119.0,,,,,,19.0
,,,,,,,,,289.0,,4363.0,,,,,,
1.0,,,,,86.0,,182.0,181.0,21291.0,,23750.0,,,,,,68.0
,,,,,,,,,,,277.0,,,,,,
