Activity,Assignment,Attempt,Choice,Comment,Completion_state,Content,Course,Feedback,File_submission,File_submission ,Files,Folder,Grade,Option,Page,Quiz,Report,Resource,Response,Session,Submission,Submission ,Submission_state,Submission_status,Submission_text,URL,assignment,attempt,choice,content,feedback,file_submission,files,folder,page,quiz,resource,response,session,submission,submission_status
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6.0,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,649.0,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,43.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,17.0,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,
,,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,,,,,,,,,,,,,,
,,529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,548.0,,4.0,,,,,504.0,483.0,,,,,,,,127.0,16.0,,1496.0,1.0,,,170.0,,,,,,,,,,,,,,,,
,,3399.0,12.0,,1939.0,,,,206.0,16.0,,9.0,400.0,,5.0,,,162.0,25665.0,,153.0,,20.0,9.0,4.0,,,,,,,,,,,,,,,,
,,,,,,,,,923.0,474.0,,,,,,,,,,,130.0,,,,186.0,,,,,,,,,,,,,,,,
6962.0,17145.0,30035.0,1120.0,,2.0,18820.0,2934.0,2267.0,,,,3671.0,46.0,,455.0,842.0,62.0,2453.0,,414.0,1466.0,519.0,8961.0,7200.0,,256.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,43.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,
,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,1486.0,78.0,19.0,1395.0,135.0,,,176.0,4.0,136.0,43.0,,37.0,149.0,1186.0
